year,AIDS-related deaths - Males Adults 15+,Country
numeric,numeric,numeric
1990,20,1
1991,45,1
1992,91,1
1993,169,1
1994,291,1
1995,466,1
1996,700,1
1997,991,1
1998,1333,1
1999,1713,1
2000,2110,1
2001,2496,1
2002,2783,1
2003,3010,1
2004,3205,1
2005,3215,1
2006,2874,1
2007,2441,1
2008,2499,1
2009,2375,1
2010,2423,1
2011,2260,1
2012,2047,1
2013,1781,1
2014,1614,1
1990,298,10
1991,474,10
1992,730,10
1993,1082,10
1994,1546,10
1995,2128,10
1996,2826,10
1997,3623,10
1998,4486,10
1999,5370,10
2000,6231,10
2001,7027,10
2002,7630,10
2003,7634,10
2004,6797,10
2005,5240,10
2006,4239,10
2007,3659,10
2008,3823,10
2009,3721,10
2010,3846,10
2011,3618,10
2012,3414,10
2013,3570,10
2014,3243,10
1990,42,9
1991,78,9
1992,144,9
1993,261,9
1994,455,9
1995,749,9
1996,1156,9
1997,1670,9
1998,2273,9
1999,2935,9
2000,3630,9
2001,4309,9
2002,4921,9
2003,5403,9
2004,5754,9
2005,5944,9
2006,5554,9
2007,5020,9
2008,4310,9
2009,3972,9
2010,3797,9
2011,3573,9
2012,3708,9
2013,4059,9
2014,4270,9
