Year,AIDS-related deaths - All ages estimate,Country
numeric,numeric,numeric
1990,112,1
1991,236,1
1992,443,1
1993,755,1
1994,1185,1
1995,1741,1
1996,2423,1
1997,3224,1
1998,4130,1
1999,5111,1
2000,6132,1
2001,7109,1
2002,7835,1
2003,8430,1
2004,8947,1
2005,9030,1
2006,8163,1
2007,7070,1
2008,6576,1
2009,5997,1
2010,5665,1
2011,5127,1
2012,4492,1
2013,3905,1
2014,3521,1
1990,12641,2
1991,18708,2
1992,26479,2
1993,35966,2
1994,47014,2
1995,59601,2
1996,73183,2
1997,87061,2
1998,100470,2
1999,112572,2
2000,122282,2
2001,129398,2
2002,133699,2
2003,135314,2
2004,134247,2
2005,127430,2
2006,118009,2
2007,105067,2
2008,91114,2
2009,78157,2
2010,64241,2
2011,52902,2
2012,46358,2
2013,42248,2
2014,38616,2
1990,27219,3
1991,30954,3
1992,34560,3
1993,38034,3
1994,41306,3
1995,44480,3
1996,47511,3
1997,50380,3
1998,53051,3
1999,55488,3
2000,57687,3
2001,59701,3
2002,61503,3
2003,62407,3
2004,58617,3
2005,55625,3
2006,51766,3
2007,45364,3
2008,32360,3
2009,26777,3
2010,25686,3
2011,26354,3
2012,23542,3
2013,20780,3
2014,18882,3
1990,869,4
1991,2092,4
1992,4604,4
1993,9240,4
1994,16964,4
1995,28656,4
1996,45028,4
1997,66537,4
1998,93344,4
1999,125147,4
2000,161382,4
2001,200325,4
2002,240146,4
2003,278758,4
2004,310416,4
2005,319389,4
2006,327176,4
2007,321975,4
2008,315459,4
2009,326357,4
2010,332928,4
2011,303077,4
2012,224003,4
2013,159715,4
2014,138379,4
1990,252,5
1991,394,5
1992,611,5
1993,930,5
1994,1383,5
1995,2000,5
1996,2799,5
1997,3788,5
1998,4947,5
1999,6230,5
2000,7551,5
2001,8751,5
2002,9874,5
2003,10781,5
2004,11328,5
2005,11137,5
2006,9333,5
2007,6595,5
2008,5129,5
2009,4610,5
2010,4418,5
2011,5255,5
2012,6951,5
2013,5379,5
2014,5083,5
1990,2566,6
1991,3631,6
1992,5091,6
1993,6975,6
1994,9324,6
1995,12103,6
1996,15390,6
1997,19246,6
1998,23682,6
1999,28665,6
2000,34216,6
2001,40263,6
2002,46647,6
2003,53107,6
2004,58878,6
2005,64165,6
2006,67348,6
2007,64527,6
2008,57514,6
2009,56020,6
2010,59885,6
2011,60320,6
2012,58886,6
2013,57637,6
2014,44917,6
1990,15158,7
1991,19189,7
1992,23627,7
1993,28533,7
1994,33888,7
1995,39827,7
1996,45987,7
1997,52139,7
1998,58028,7
1999,63469,7
2000,68316,7
2001,72540,7
2002,76063,7
2003,78905,7
2004,80832,7
2005,79847,7
2006,76552,7
2007,70711,7
2008,63561,7
2009,56615,7
2010,51027,7
2011,46482,7
2012,41978,7
2013,36198,7
2014,32603,7
1990,89,8
1991,154,8
1992,250,8
1993,381,8
1994,549,8
1995,756,8
1996,997,8
1997,1266,8
1998,1554,8
1999,1851,8
2000,2147,8
2001,2430,8
2002,2689,8
2003,2915,8
2004,3101,8
2005,3243,8
2006,3347,8
2007,3402,8
2008,3431,8
2009,3445,8
2010,3429,8
2011,3389,8
2012,3325,8
2013,3279,8
2014,3195,8
1990,128,9
1991,248,9
1992,471,9
1993,863,9
1994,1495,9
1995,2411,9
1996,3603,9
1997,5027,9
1998,6636,9
1999,8369,9
2000,10162,9
2001,11908,9
2002,13489,9
2003,14746,9
2004,15670,9
2005,16181,9
2006,15133,9
2007,14013,9
2008,12171,9
2009,10657,9
2010,8984,9
2011,8115,9
2012,8629,9
2013,9017,9
2014,9323,9
1990,939,10
1991,1466,10
1992,2187,10
1993,3149,10
1994,4373,10
1995,5866,10
1996,7608,10
1997,9555,10
1998,11623,10
1999,13770,10
2000,15762,10
2001,17523,10
2002,18813,10
2003,18771,10
2004,16814,10
2005,13015,10
2006,10497,10
2007,9126,10
2008,9404,10
2009,8487,10
2010,7086,10
2011,6411,10
2012,6092,10
2013,5798,10
2014,5139,10
1990,1107,11
1991,1342,11
1992,1625,11
1993,1959,11
1994,2349,11
1995,2799,11
1996,3313,11
1997,3895,11
1998,4550,11
1999,5285,11
2000,6097,11
2001,6985,11
2002,7934,11
2003,8927,11
2004,9919,11
2005,10807,11
2006,11449,11
2007,11027,11
2008,11353,11
2009,11847,11
2010,12106,11
2011,12302,11
2012,12725,11
2013,12750,11
2014,11770,11
