Year,New HIV Infections - Adults 15+,New HIV Infections - Females  15 +,New HIV Infections - Male Adults 15+,Country
numeric,numeric,numeric,numeric,numeric
1990,3802,2068,1734,1
1991,6568,3652,2916,1
1992,9915,5593,4323,1
1993,13068,7458,5610,1
1994,15583,8986,6597,1
1995,16902,9806,7096,1
1996,17133,9963,7170,1
1997,16650,9704,6946,1
1998,15638,9108,6531,1
1999,14531,8461,6070,1
2000,13599,7894,5704,1
2001,13072,7568,5504,1
2002,12649,7304,5345,1
2003,12361,7095,5265,1
2004,12183,6951,5232,1
2005,12012,6816,5196,1
2006,11762,6641,5121,1
2007,11496,6462,5034,1
2008,11315,6336,4979,1
2009,11102,6197,4905,1
2010,11887,6618,5269,1
2011,10875,6039,4836,1
2012,10192,5648,4544,1
2013,9473,5241,4232,1
2014,8689,4801,3888,1
1990,177039,98343,78696,2
1991,210530,117737,92793,2
1992,233088,130649,102439,2
1993,241974,135828,106146,2
1994,237255,132874,104381,2
1995,221910,124026,97883,2
1996,200013,111605,88407,2
1997,175138,97351,77787,2
1998,150537,83460,67077,2
1999,129012,71433,57579,2
2000,110989,61448,49541,2
2001,96907,53727,43179,2
2002,86661,48157,38505,2
2003,79622,44367,35255,2
2004,75333,42099,33234,2
2005,72526,40651,31876,2
2006,70654,39729,30925,2
2007,69059,38957,30102,2
2008,68126,38552,29574,2
2009,67041,38037,29004,2
2010,65132,37008,28123,2
2011,62715,35631,27085,2
2012,59600,33832,25768,2
2013,55437,31431,24005,2
2014,54762,31021,23741,2
1990,60174,29682,30492,3
1991,59337,29794,29543,3
1992,60413,30369,30044,3
1993,61774,31027,30747,3
1994,63434,31836,31598,3
1995,65312,32749,32563,3
1996,66979,33562,33417,3
1997,68482,34294,34188,3
1998,69462,34765,34697,3
1999,69826,34930,34896,3
2000,69627,34816,34811,3
2001,68857,34418,34439,3
2002,67666,33810,33857,3
2003,65965,32945,33019,3
2004,63611,31754,31857,3
2005,61308,30587,30721,3
2006,58762,29300,29463,3
2007,56148,27979,28169,3
2008,52895,26342,26553,3
2009,50927,25349,25579,3
2010,55039,27382,27657,3
2011,53352,26531,26821,3
2012,51458,25580,25878,3
2013,49830,24765,25065,3
2014,47781,23743,24038,3
1990,53248,28271,24978,4
1991,110122,59674,50448,4
1992,200520,110349,90171,4
1993,319784,177934,141849,4
1994,448012,251829,196183,4
1995,554774,313621,241152,4
1996,620213,352157,268056,4
1997,643227,365305,277922,4
1998,627864,356482,271382,4
1999,592635,336391,256244,4
2000,545451,308675,236776,4
2001,502592,283753,218839,4
2002,478620,269715,208905,4
2003,458375,257894,200481,4
2004,440774,247632,193142,4
2005,425484,238736,186748,4
2006,415854,233570,182283,4
2007,409326,230144,179182,4
2008,405814,228385,177429,4
2009,405871,228566,177305,4
2010,404163,227640,176523,4
2011,392924,221167,171757,4
2012,368268,207174,161094,4
2013,341341,191519,149822,4
2014,329102,184217,144885,4
1990,4497,2577,1920,5
1991,6856,3960,2897,5
1992,10006,5803,4203,5
1993,13726,7989,5736,5
1994,17595,10241,7354,5
1995,20709,12048,8661,5
1996,22678,13177,9501,5
1997,22987,13298,9690,5
1998,22292,12840,9451,5
