Year,AIDS-related deaths,New HIV Infections,Country
numeric,numeric,numeric,numeric
1990,37,3802,1
1991,86,6568,1
1992,179,9915,1
1993,339,13068,1
1994,590,15583,1
1995,952,16902,1
1996,1440,17133,1
1997,2057,16650,1
1998,2789,15638,1
1999,3608,14531,1
2000,4476,13599,1
2001,5329,13072,1
2002,5970,12649,1
2003,6494,12361,1
2004,6966,12183,1
2005,7028,12012,1
2006,6296,11762,1
2007,5250,11496,1
2008,4722,11315,1
2009,4338,11102,1
2010,4513,11887,1
2011,4190,10875,1
2012,3691,10192,1
2013,3199,9473,1
2014,2923,8689,1
1990,424,53248,2
1991,1097,110122,2
1992,2591,200520,2
1993,5579,319784,2
1994,10959,448012,2
1995,19704,554774,2
1996,32726,620213,2
1997,50686,643227,2
1998,73907,627864,2
1999,102184,592635,2
2000,134874,545451,2
2001,170595,502592,2
2002,207673,478620,2
2003,244256,458375,2
2004,275104,440774,2
2005,283642,425484,2
2006,291480,415854,2
2007,286023,409326,2
2008,280806,405814,2
2009,294986,405871,2
2010,311108,404163,2
2011,284500,392924,2
2012,206933,368268,2
2013,146265,341341,2
2014,126750,329102,2
1990,73,4507,3
1991,142,8304,3
1992,273,14624,3
1993,510,23437,3
1994,917,32622,3
1995,1554,37834,3
1996,2459,36416,3
1997,3631,30644,3
1998,5037,24372,3
1999,6612,21141,3
2000,8283,19590,3
2001,9936,19216,3
2002,11444,19469,3
2003,12640,19964,3
2004,13521,20460,3
2005,13996,20904,3
2006,12938,21020,3
2007,11965,20697,3
2008,10197,19610,3
2009,9214,18683,3
2010,7802,17813,3
2011,7058,17238,3
2012,7665,17215,3
2013,8020,17252,3
2014,8341,17243,3
1990,7820,177039,4
1991,12121,210530,4
1992,17963,233088,4
1993,25491,241974,4
1994,34682,237255,4
1995,45416,221910,4
1996,57255,200013,4
1997,69668,175138,4
1998,81929,150537,4
1999,93204,129012,4
2000,102431,110989,4
2001,109414,96907,4
2002,113928,86661,4
2003,116123,79622,4
2004,115692,75333,4
2005,109653,72526,4
2006,101360,70654,4
2007,89570,69059,4
2008,76957,68126,4
2009,65171,67041,4
2010,52472,65132,4
2011,42371,62715,4
2012,38417,59600,4
2013,35345,55437,4
2014,31902,54762,4
